species,calls
Astracantha_aurea_P071_WH01,tetraploid
Astracantha_bethlehemitica_P100_WD07,tetraploid
Astracantha_caucasica_P100_WD10,triploid
Astracantha_cerasocrena_P100_WD06,triploid
Astracantha_cretica_P073_WF04,tetraploid
Astracantha_deinacantha_P103_WA02,triploid
Astracantha_denudata_P076_WF01,tetraploid
Astracantha_diphtherites_P100_WE01,triploid
Astracantha_granatensis_P100_WC12,tetraploid
Astracantha_gummifera_P100_WD11,triploid
Astracantha_karabaghensis_P074_WD04,tetraploid
Astracantha_lasiostyla_P008_WD05,triploid
Astracantha_meana_P100_WD08,tetraploid
Astracantha_meschhedensis_P100_WB02,tetraploid
Astracantha_microcephala_P064_WA05,tetraploid
Astracantha_multifoliolata_P103_WC05,triploid
Astracantha_piletoclada_P100_WB04,tetraploid
Astracantha_plumosa_P009_WH03,tetraploid
Astracantha_pterocephala_P100_WB05,triploid
Astracantha_pulvinata_P083_WG07,tetraploid
Astracantha_sommieri_P103_WA07,tetraploid
Astracantha_stenonychioides_P071_WG12,tetraploid
Astracantha_strobilifera_P075_WE02,tetraploid
Astracantha_transoxana_P063_WH07,tetraploid
Astracantha_turkmenorum_P114_WD07,tetraploid
Astragalus_acanthochristianopsis_P013_WD02,triploid
Astragalus_acaulis_P010_WA02,tetraploid
Astragalus_accidens_P026_WA11,diploid
Astragalus_ackermanii_P064_WF07,diploid
Astragalus_adanus_P067_WH11,diploid
Astragalus_adpressipilosus_P072_WF03,tetraploid
Astragalus_adsurgens_P013_WF10,triploid
Astragalus_aduncus_P114_WD01,tetraploid
Astragalus_adzharicus_P072_WF02,tetraploid
Astragalus_aegobromus_P009_WG05,tetraploid
Astragalus_aequalis_P070_WH08,diploid
Astragalus_afghanomontanus_P069_WA03,tetraploid
Astragalus_agameticus_P072_WB02,tetraploid
Astragalus_agrestis_P028_WE04,triploid
Astragalus_akkensis_P011_WB12,triploid
Astragalus_aksuensis_P008_WD08,triploid
Astragalus_albens_P025_WH10,diploid
Astragalus_albertii_P072_WF04,triploid
Astragalus_albicaulis_P075_WH11,triploid
Astragalus_albulus_P068_WB07,diploid
Astragalus_algerianus_P014_WB06,triploid
Astragalus_alitschuri_P013_WC03,tetraploid
Astragalus_allochrous_P026_WB07,diploid
Astragalus_alopecias_P072_WE01,diploid
Astragalus_alopecurus_P013_WG12,tetraploid
Astragalus_alpinus_P066_WA11,tetraploid
Astragalus_altimurensis_P009_WF07,tetraploid
Astragalus_altus_P076_WA12,diploid
Astragalus_alvordensis_P066_WE12,diploid
Astragalus_amatus_P045_WH05,triploid
Astragalus_amblytropis_P066_WE08,diploid
Astragalus_amherstianus_P013_WD03,diploid
Astragalus_ammodendron_P074_WC12,triploid
Astragalus_ammodytes_P074_WA03,triploid
Astragalus_ammotrophus_P117_WE03,tetraploid
Astragalus_amnis-amissi_P069_WD01,diploid
Astragalus_amphioxys_P068_WD03,diploid
Astragalus_ampullarius_P067_WE01,tetraploid
Astragalus_amygdalinus_P074_WH04,tetraploid
Astragalus_andersonii_P065_WA07,diploid
Astragalus_anemophilus_P026_WA06,tetraploid
Astragalus_angustifolius_P077_WA01,tetraploid
Astragalus_angustissimus_P072_WA12,tetraploid
Astragalus_anisacanthus_P074_WF09,diploid
Astragalus_anisus_P067_WF09,diploid
Astragalus_anserinifolius_P072_WC11,tetraploid
Astragalus_anserinus_P067_WA04,diploid
Astragalus_anxius_P069_WC05,diploid
Astragalus_applegatii_P066_WF02,tetraploid
Astragalus_apricus_P063_WG07,diploid
Astragalus_aquilonius_P065_WA04,diploid
Astragalus_arenarius_P009_WG07,tetraploid
Astragalus_arequipensis_P045_WH10,diploid
Astragalus_arganaticus_P074_WC08,tetraploid
Astragalus_argophyllus_P069_WD10,diploid
Astragalus_arguricus_P072_WA07,tetraploid
Astragalus_argyroides_P074_WC11,tetraploid
Astragalus_aridus_P026_WA04,diploid
Astragalus_arizonicus_P067_WG04,diploid
Astragalus_armatus_P011_WC06,tetraploid
Astragalus_arnottianus_P067_WF04,diploid
Astragalus_arthurii_P069_WE02,tetraploid
Astragalus_asclepiadoides_P066_WF07,triploid
Astragalus_askius_P071_WA03,tetraploid
Astragalus_asper_P072_WA05,triploid
Astragalus_asterias_P009_WG09,tetraploid
Astragalus_asymmetricus_P111_WH11,diploid
Astragalus_atratus_P068_WE12,tetraploid
Astragalus_atropilosulus_P006_WH04,tetraploid
Astragalus_atropubescens_P065_WE10,diploid
Astragalus_austinae_P070_WA03,diploid
Astragalus_australis_P069_WH11,tetraploid
Astragalus_austriacus_P072_WA04,tetraploid
Astragalus_austroaegaeus_P075_WA04,tetraploid
Astragalus_austrosibiricus_P010_WC11,triploid
Astragalus_babatagii_P013_WF04,diploid
