species,soil
Astragalus_megalanthus,chernozems
Astragalus_ornithopodioides,cambisols
Astragalus_desperatus,calcisols
Astragalus_sinicus,cambisols
Astragalus_psilocentros,cambisols
Astragalus_atropubescens,kastanozems
Astragalus_vaccarum,regosols
Astragalus_sesamoides,calcisols
Astragalus_adanus,kastanozems
Astragalus_distortus,luvisols
Astragalus_calliphysa,regosols
Astragalus_galegiformis,cambisols
Astragalus_layneae,calcisols
Astragalus_racemosus,kastanozems
Astragalus_limnocharis,chernozems
Astragalus_egglestonii,luvisols
Astragalus_cremnophylax,calcisols
Astragalus_lancearius,calcisols
Astragalus_debequaeus,calcisols
Astragalus_callistachys,regosols
Astragalus_puniceus,kastanozems
Astragalus_parvus,calcisols
Astragalus_solitarius,cambisols
Astragalus_speirocarpus,kastanozems
Oxytropis_czukotica,cryosols
Astragalus_brachycarpus,cambisols
Astragalus_monticola,regosols
Astragalus_soxmaniorum,luvisols
Astragalus_welshii,chernozems
Astragalus_scaphoides,kastanozems
Astragalus_bellus,regosols
Astragalus_alvordensis,cambisols
Astracantha_diphtherites,regosols
Astragalus_eriocarpus,cambisols
Astragalus_bisulcatus,kastanozems
Astragalus_vesicarius,cambisols
Astragalus_megalomerus,cambisols
Astragalus_amphioxys,calcisols
Astragalus_trichopodus,luvisols
Astragalus_loanus,kastanozems
Astragalus_unifoliolatus,cambisols
Astragalus_micromerius,cambisols
Astragalus_spinescens,calcisols
Oxytropis_jonesii,calcisols
Astragalus_plattensis,kastanozems
Astragalus_adpressipilosus,cambisols
Oxytropis_immersa,cambisols
Astragalus_remotiflorus,regosols
Astragalus_crymophilus,cambisols
Astragalus_illinii,regosols
Astragalus_kentrophyta,cambisols
Astragalus_chamaemeniscus,cambisols
Astragalus_palenae,regosols
Astragalus_fedtschenkoanus,kastanozems
Astragalus_limariensis,
Astragalus_cyaneus,luvisols
Astragalus_pinonis,kastanozems
Astragalus_suberosus,luvisols
Astragalus_laguroides,kastanozems
Astragalus_rattanii,luvisols
Astragalus_fraxinifolius,cambisols
Astragalus_humistratus,luvisols
Astragalus_vogelii,leptosols
Astragalus_wrightii,luvisols
Astragalus_zingeri,chernozems
Astragalus_pennellianus,luvisols
Astragalus_toquimanus,kastanozems
Astragalus_confertus,leptosols
Astragalus_fruticosus,cambisols
Astragalus_medius,chernozems
Carmichaelia_violacea,cambisols
Astragalus_argophyllus,chernozems
Astragalus_dianthus,regosols
Oxytropis_humifusa,cryosols
Oxytropis_pilosa,cambisols
Astragalus_hispidulus,solonchaks
Astragalus_wetherillii,calcisols
Astragalus_mucidus,cambisols
Astragalus_remotus,luvisols
Astragalus_calycosus,kastanozems
Astragalus_congdonii,luvisols
Astragalus_agrestis,chernozems
Oxytropis_obnapiformis,kastanozems
Astragalus_chrysostachys,regosols
Astragalus_hoodianus,cambisols
Astragalus_aegobromus,leptosols
Sutherlandia_microphylla,luvisols
Astragalus_hypoglottis,cambisols
Astragalus_coccineus,luvisols
Astragalus_cronquistii,calcisols
Astragalus_tribuloides,solonchaks
Astragalus_shevockii,kastanozems
Astragalus_austrosibiricus,cambisols
Oxytropis_racemosa,calcisols
Astragalus_varius,chernozems
Astragalus_didymocarpus,luvisols
Astragalus_simplicifolius,cambisols
Astragalus_agameticus,calcisols
Astragalus_cymboides,calcisols
Astragalus_monumentalis,calcisols
Astragalus_zanskarensis,chernozems
Astragalus_peterfii,chernozems
Astragalus_kirrindicus,cambisols
Astragalus_macropodium,cambisols
Astragalus_georgii,regosols
Astragalus_oniciformis,kastanozems
Astragalus_fucatus,calcisols
Astracantha_gummifera,cambisols
Astragalus_pusillus,cambisols
Astragalus_spaldingii,kastanozems
Astragalus_daleae,luvisols
Astragalus_turczaninowii,solonetz
Erophaca_baetica,luvisols
Sphaerophysa_salsula,cambisols
Astragalus_maximowiczii,regosols
Astragalus_arizonicus,luvisols
Astracantha_aurea,chernozems
Astragalus_cretaceus,regosols
Astragalus_tongolensis,leptosols
Astragalus_ornithorrhynchus,chernozems
Astragalus_accidens,luvisols
Astragalus_hypoleucus,leptosols
Astragalus_inyoensis,kastanozems
Astragalus_lotiflorus,kastanozems
Oxytropis_chionobia,cryosols
Astragalus_sesameus,cambisols
Astragalus_moranii,regosols
Astragalus_scutaneus,vertisols
Astragalus_leontinus,cambisols
Astragalus_tricholobus,calcisols
Astragalus_webberi,luvisols
Astragalus_sumbari,regosols
Astragalus_oocalycis,kastanozems
Astragalus_filicaulis,regosols
Astragalus_caricinus,cambisols
Astragalus_laxmannii,kastanozems
Astragalus_sevangensis,cambisols
Astragalus_curvicarpus,kastanozems
Astragalus_nivalis,cryosols
Astragalus_neglectus,luvisols
Astragalus_nuttallianus,luvisols
Astragalus_clevelandii,luvisols
Astragalus_recurvus,luvisols
Astragalus_hajastanus,cambisols
Astragalus_varzobicus,cambisols
Astracantha_strobilifera,calcisols
Astragalus_leptocaulis,kastanozems
Astragalus_munroi,leptosols
Astragalus_echinops,calcisols
Astragalus_knightii,calcisols
Astragalus_bornmuellerianus,cambisols
Astragalus_laetus,calcisols
Astragalus_micranthellus,cambisols
Astragalus_tarijensis,cambisols
Astragalus_ampullarius,luvisols
Astragalus_chilienshanensis,leptosols
