"","trait","ER.model","ADR.model"
"1","Ploidy",1602.43299683553,1521.6032859894
"2","Soil type",4153.7227733878,3873.38462852597
"3","Chromosome count",1384.38314560206,1586.575862076
"4","Chromosome count clean",392.381511670248,954.548424899273
