1649	7 (A W E U N B S) 
Astracantha_aurea	0100000
Astracantha_bethlehemitica	0100000
Astracantha_caucasica	0100000
Astracantha_cerasocrena	0100000
Astracantha_cretica	0000010
Astracantha_deinacantha	0100000
Astracantha_denudata	0100000
Astracantha_diphtherites	0100000
Astracantha_granatensis	1000010
Astracantha_gummifera	0100000
Astracantha_karabaghensis	0100000
Astracantha_microcephala	0100000
Astracantha_oleifolia	0100000
Astracantha_parnassi	0000010
Astracantha_plumosa	0100000
Astracantha_pterocephala	0100000
Astracantha_stenonychioides	0100000
Astracantha_strobilifera	0100000
Astragalus_abbreviatus	0100000
Astragalus_abnormalis	0100000
Astragalus_aboriginum	0000100
Astragalus_acaulis	0010000
Astragalus_accidens	0000100
Astragalus_accumbens	0000101
Astragalus_achundovii	0100000
Astragalus_ackerbergensis	0100000
Astragalus_ackermanii	0000100
Astragalus_acmophylloides	0100000
Astragalus_acutifolius	0100000
Astragalus_acutirostris	0000100
Astragalus_adanus	0000100
Astragalus_adpressipilosus	0100000
Astragalus_adsurgens	0000100
Astragalus_adulterinus	0100000
Astragalus_aduncus	0100000
Astragalus_adzharicus	0100000
Astragalus_aegobromus	0100000
Astragalus_aeluropus	0100000
Astragalus_aequalis	0000100
Astragalus_agameticus	0100000
Astragalus_agnicidus	0000100
Astragalus_agraniotii	0000010
Astragalus_agrestis	0000100
Astragalus_ajfreidii	0100000
Astragalus_ajubensis	0100000
Astragalus_akkensis	1000000
Astragalus_aksaricus	0100100
Astragalus_aksuensis	0110000
Astragalus_alaicus	0100000
Astragalus_alamliensis	0100000
Astragalus_alaschanus	0010000
Astragalus_alatavicus	0100000
Astragalus_albens	0000100
Astragalus_albertii	0100000
Astragalus_albertoregelia	0100000
Astragalus_albicaulis	0100010
Astragalus_albulus	0000100
Astragalus_aleppicus	0100000
Astragalus_alexandrii	0100000
Astragalus_algarbiensis	1000010
Astragalus_algerianus	1000100
Astragalus_allochrous	0000100
Astragalus_aloisii	0010000
Astragalus_alopecias	0100000
Astragalus_alopecuroides	1000010
Astragalus_alopecurus	0100010
Astragalus_alpamarcae	0000001
Astragalus_alpinus	0111110
Astragalus_altaicola	0100000
Astragalus_altimurensis	0010000
Astragalus_altus	0000100
Astragalus_alvordensis	0000100
Astragalus_alyssoides	0100000
Astragalus_amarus	0100000
Astragalus_amatus	0000001
Astragalus_amblytropis	0000100
Astragalus_americanus	0000100
Astragalus_amherstianus	0110000
Astragalus_ammodendroides	0100000
Astragalus_ammodendron	0100000
Astragalus_ammodytes	0000010
Astragalus_ammotrophus	0100000
Astragalus_amnis-amissi	0000100
Astragalus_amphioxys	0000100
Astragalus_ampullarioides	0000100
Astragalus_ampullarius	0000100
Astragalus_anacardius	0100000
Astragalus_ancistrocarpus	0100000
Astragalus_andaulgensis	0100000
Astragalus_andersonii	0000100
Astragalus_anemophilus	0000100
Astragalus_anfractuosus	0100000
Astragalus_angarensis	0100010
Astragalus_angreni	0100000
Astragalus_angustatus	0100000
Astragalus_angustiflorus	0100010
Astragalus_angustifolius	0100010
Astragalus_anisacanthus	0110000
Astragalus_anisomerus	0100100
Astragalus_anisus	0000100
Astragalus_ankylotus	0000010
Astragalus_anni-novi	0000001
Astragalus_annularis	1100000
Astragalus_anserinifolius	0100000
Astragalus_anserinus	0000100
Astragalus_antheliophorus	0100000
Astragalus_anthosphaerus	0100000
Astragalus_anxius	0000100
Astragalus_apollineus	0000010
Astragalus_applegatii	0000100
