833	7 (A W E U N B S) 
Astracantha_aurea	0100000
Astracantha_bethlehemitica	0100000
Astracantha_caucasica	0100000
Astracantha_cerasocrena	0100000
Astracantha_cretica	0000010
Astracantha_deinacantha	0100000
Astracantha_denudata	0100000
Astracantha_diphtherites	0100000
Astracantha_granatensis	1000010
Astracantha_gummifera	0100000
Astracantha_karabaghensis	0100000
Astracantha_microcephala	0100000
Astracantha_plumosa	0100000
Astracantha_pterocephala	0100000
Astracantha_stenonychioides	0100000
Astracantha_strobilifera	0100000
Astragalus_acaulis	0010000
Astragalus_accidens	0000100
Astragalus_ackermanii	0000100
Astragalus_adanus	0000100
Astragalus_adpressipilosus	0100000
Astragalus_adsurgens	0000100
Astragalus_aduncus	0100000
Astragalus_adzharicus	0100000
Astragalus_aegobromus	0100000
Astragalus_aequalis	0000100
Astragalus_agameticus	0100000
Astragalus_agrestis	0000100
Astragalus_akkensis	1000000
Astragalus_aksuensis	0110000
Astragalus_albens	0000100
Astragalus_albertii	0100000
Astragalus_albicaulis	0100010
Astragalus_albulus	0000100
Astragalus_algerianus	1000100
Astragalus_allochrous	0000100
Astragalus_alopecias	0100000
Astragalus_alopecurus	0100010
Astragalus_alpinus	0111110
Astragalus_altimurensis	0010000
Astragalus_altus	0000100
Astragalus_alvordensis	0000100
Astragalus_amatus	0000001
Astragalus_amblytropis	0000100
Astragalus_amherstianus	0110000
Astragalus_ammodendron	0100000
Astragalus_ammodytes	0000010
Astragalus_ammotrophus	0100000
Astragalus_amnis-amissi	0000100
Astragalus_amphioxys	0000100
Astragalus_ampullarius	0000100
Astragalus_andersonii	0000100
Astragalus_anemophilus	0000100
Astragalus_angustifolius	0100010
Astragalus_anisacanthus	0110000
Astragalus_anisus	0000100
Astragalus_anserinifolius	0100000
Astragalus_anserinus	0000100
Astragalus_anxius	0000100
Astragalus_applegatii	0000100
Astragalus_aquilonius	0000100
Astragalus_arenarius	0100010
Astragalus_arequipensis	0000001
Astragalus_arganaticus	0100000
Astragalus_argophyllus	0000100
Astragalus_arguricus	0100000
Astragalus_argyroides	0100000
Astragalus_aridus	0000100
Astragalus_arizonicus	0000100
Astragalus_armatus	1000000
Astragalus_arnottianus	0000001
Astragalus_arthurii	0000100
Astragalus_asclepiadoides	0000100
Astragalus_askius	0100000
Astragalus_asper	0100010
Astragalus_asterias	1100010
Astragalus_asymmetricus	0000100
Astragalus_atratus	0000100
Astragalus_atropilosulus	1100000
Astragalus_atropubescens	0000100
Astragalus_austinae	0000100
Astragalus_australis	1000110
Astragalus_austriacus	0100010
Astragalus_austroaegaeus	0000010
Astragalus_austrosibiricus	0100010
Astragalus_baissunensis	0100000
Astragalus_bakaliensis	0100000
Astragalus_bakuensis	0100000
Astragalus_balfourianus	0010000
Astragalus_beckwithii	0000100
Astragalus_bellus	0000001
Astragalus_bergii	0000001
Astragalus_berteri	0100000
Astragalus_berterianus	0000001
Astragalus_bibullatus	0000100
Astragalus_bicristatus	0000100
Astragalus_bisulcatus	0000100
Astragalus_bodinii	0000100
Astragalus_boeticus	1100010
Astragalus_bolanderi	0000100
Astragalus_bornmuellerianus	0100000
Astragalus_bourgaeanus	1000010
Astragalus_bourgovii	0000100
Astragalus_brachycarpus	0100000
Astragalus_brachylobus	0100010
Astragalus_brachypus	0100000
Astragalus_brackenridgei	0000001
Astragalus_brandegei	0000100
Astragalus_brauntonii	0000100
Astragalus_brazoensis	0000100
Astragalus_brevifolius	0110000
Astragalus_breweri	0000100
