"guid","eventDate","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","scientificName","order","genus","specificEpithet","validName","match","source","x"
"1697802445","1931-07-03T00:00:00",NA,"38.73638","48.39591","1000","Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1697802390","1927-07-24T00:00:00",NA,"43.24284","43.14944",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1697802398","1934-09-15T00:00:00",NA,"39.68604","46.65229",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230501017","2007-06-16T00:00:00","Armenia, Syunik province, main road from Sisian to Yerevan, E of Ughedzor pass, SE of Gorhayk, above lake","39.66639","45.83778",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230492300","2003-07-12T00:00:00","Armenia, Aragatsotn province, Mt. Aragats, route from lake at end of road along eastern flank of Mt. Hamberd to castle Hamberd, SE flank of Mt. Hamberd, 40°25’14""N 44°11’51""E","40.42056","44.1975",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230501066","2009-06-15T00:00:00","Armenia, Vayots' Dzor province, area SSE of Vayk, SE of Martiros, between Surb Mahriam and lake Chimoi","39.58944","45.51917",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230487186","1948-07-26T00:00:00","Prov. Gorgan (Asterabad): In declivibus borealibus montium Shavar prope Hadjilang. ca. 2400 - 2600 m.","32.21028","49.71139",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1851016889","2016-06-24T00:00:00","Miyaneh, Bozqush Mt., Eshlagh, Dishab, high elevation of Bozqush Mt., Gishlagh daghi,","37.74694","47.59639",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230476007","1843-07-16T00:00:00","Habitat ad pagum Schahristanek prope Teheran in montibus Elbrus","35.94083","51.37806","2000","Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230476088","1843-07-16T00:00:00","In partibus septentrionem versus spectantibus m. Totschal pr. Teheran. Habitat prope Gattade in valle Tatagon montium Elburs.","35.88333","51.4","1000","Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230501082","2007-06-15T00:00:00","Armenia, Syunik province, SW Sisian, W of Arevis, former settlement","39.40889","45.87278",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230503577","2009-06-14T00:00:00","Armenia, Ararat province, NNE of Zangakatun, mountain slope NE Gortun","39.85","45.05",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"2598722351","2010-07-10T00:00:00","Azarbayjan, Sahand Mts., near Kamal Daghi, 37⁰44'08""N; 46⁰29'58""E, 3300 m","37.73556","46.49944","50","Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"2598722352","2012-06-04T00:00:00","Iran, Azarbijan Pr., Mianeh, Bozqush Mt., Above Armodagh., 37⁰50'N; 48⁰01'E, 2300 m","37.83333","48.01667","2000","Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230503609","2009-06-15T00:00:00","Armenia, Vayots' Dzor province, area SSE of Vayk, SE of Martiros, at lake Chimoi, meadow besides lake","39.59667","45.52222",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230492552","2004-06-19T00:00:00","Armenia, Vayots Dzor province, Vajk district, Djermuk, Kechut village, near gorge with mineral fountain, slopes up to mountain, 45°38’14""E 39°49’21""N","39.8225","45.63722",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230493783","2005-08-20T00:00:00","Armenia, Sjunik province, Kapan district, Kajaran pass, besides track top of road pass and saddle c. 1,3 km west, 39°06’48""N 46°08’58""E","39.11333","46.14944",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230492703","2003-07-09T00:00:00","Armenia, Syunik province, besides main road Echegnadzor to Goris, c. 8 km ENE from Sisian, remarkable hill of volcanic slag, 39°42’16""N 45°41’12""E","39.70444","45.68667",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230493630","2005-08-29T00:00:00","Armenia, Kotayk province, Kotayk district, Gegham Range, mountain slope ESE of Sevaberd, 40°16’23""N 44°49’34""E","40.27306","44.82611",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
