Astracantha_aurea	W
Astracantha_bethlehemitica	W
Astracantha_caucasica	W
Astracantha_cerasocrena	W
Astracantha_cretica	B
Astracantha_deinacantha	W
Astracantha_denudata	W
Astracantha_diphtherites	W
Astracantha_granatensis	AB
Astracantha_gummifera	W
Astracantha_karabaghensis	W
Astracantha_microcephala	W
Astracantha_plumosa	W
Astracantha_pterocephala	W
Astracantha_stenonychioides	W
Astracantha_strobilifera	W
Astragalus_acaulis	E
Astragalus_accidens	N
Astragalus_ackermanii	N
Astragalus_adanus	N
Astragalus_adpressipilosus	W
Astragalus_adsurgens	N
Astragalus_aduncus	W
Astragalus_adzharicus	W
Astragalus_aegobromus	W
Astragalus_aequalis	N
Astragalus_agameticus	W
Astragalus_agrestis	N
Astragalus_akkensis	A
Astragalus_aksuensis	WE
Astragalus_albens	N
Astragalus_albertii	W
Astragalus_albicaulis	WB
Astragalus_albulus	N
Astragalus_algerianus	AB
Astragalus_allochrous	N
Astragalus_alopecias	W
Astragalus_alopecurus	WB
Astragalus_alpinus	WENB
Astragalus_altimurensis	E
Astragalus_altus	N
Astragalus_alvordensis	N
Astragalus_amatus	S
Astragalus_amblytropis	N
Astragalus_amherstianus	WE
Astragalus_ammodendron	W
Astragalus_ammodytes	B
Astragalus_ammotrophus	W
Astragalus_amnis-amissi	N
Astragalus_amphioxys	N
Astragalus_ampullarius	N
Astragalus_andersonii	N
Astragalus_anemophilus	N
Astragalus_angustifolius	WB
Astragalus_anisacanthus	WE
Astragalus_anisus	N
Astragalus_anserinifolius	W
Astragalus_anserinus	N
Astragalus_anxius	N
Astragalus_applegatii	N
Astragalus_aquilonius	N
Astragalus_arenarius	WB
Astragalus_arequipensis	S
Astragalus_arganaticus	W
Astragalus_argophyllus	N
Astragalus_arguricus	W
Astragalus_argyroides	W
Astragalus_aridus	N
Astragalus_arizonicus	N
Astragalus_armatus	A
Astragalus_arnottianus	S
Astragalus_arthurii	N
Astragalus_asclepiadoides	N
Astragalus_askius	W
Astragalus_asper	WB
Astragalus_asterias	AWB
Astragalus_asymmetricus	N
Astragalus_atratus	N
Astragalus_atropilosulus	AW
Astragalus_atropubescens	N
Astragalus_austinae	N
Astragalus_australis	B
Astragalus_austriacus	WB
Astragalus_austroaegaeus	B
Astragalus_austrosibiricus	WB
Astragalus_baissunensis	W
Astragalus_bakaliensis	W
Astragalus_bakuensis	W
Astragalus_balfourianus	E
Astragalus_beckwithii	N
Astragalus_bellus	S
Astragalus_bergii	S
Astragalus_berteri	S
Astragalus_berterianus	S
Astragalus_bibullatus	N
Astragalus_bicristatus	N
Astragalus_bisulcatus	N
Astragalus_bodinii	N
Astragalus_boeticus	AWB
Astragalus_bolanderi	N
Astragalus_bornmuellerianus	W
Astragalus_bourgaeanus	AB
Astragalus_bourgovii	N
Astragalus_brachycarpus	W
Astragalus_brachylobus	WB
Astragalus_brachypus	W
Astragalus_brackenridgei	S
Astragalus_brandegei	N
Astragalus_brauntonii	N
Astragalus_brazoensis	N
Astragalus_brevifolius	WE
Astragalus_breweri	N
Astragalus_buchtormensis	WB
Astragalus_bungeanus	W
Astragalus_burkartii	S
Astragalus_bustillosii	S
Astragalus_californicus	N
Astragalus_calliphysa	W
Astragalus_callistachys	W
Astragalus_callithrix	N
Astragalus_calycinus	W
Astragalus_calycosus	N
Astragalus_camptoceras	W
Astragalus_camptopus	N
Astragalus_campylorhynchus	W
Astragalus_campylosema	W
Astragalus_campylotrichus	W
Astragalus_canadensis	N
Astragalus_cancellatus	W
Astragalus_caprinus	AWB
Astragalus_captiosus	W
Astragalus_caraganae	W
Astragalus_caricinus	N
Astragalus_carminis	N
Astragalus_casei	N
Astragalus_castaneiformis	N
Astragalus_castetteri	N
Astragalus_catabostrychos	W
Astragalus_centralis	W
Astragalus_cephalanthus	W
Astragalus_ceramicus	N
Astragalus_chamaeleuce	N
Astragalus_chamaemeniscus	N
Astragalus_chamissonis	S
Astragalus_chilienshanensis	E
Astragalus_chinensis	EB
Astragalus_chionanthus	W
Astragalus_chloodes	N
Astragalus_chlorostachys	WE
Astragalus_chrysostachys	W
Astragalus_chubutensis	S
Astragalus_chuskanus	N
Astragalus_cibarius	N
Astragalus_cicer	WB
Astragalus_cimae	N
Astragalus_circumdatus	N
Astragalus_citrinus	W
Astragalus_clarianus	N
Astragalus_clevelandii	N
Astragalus_clusii	B
Astragalus_coahuilae	N
Astragalus_cobrensis	N
Astragalus_coccineus	N
Astragalus_cochabambensis	S
Astragalus_cognatus	W
Astragalus_collinus	N
Astragalus_coltonii	N
Astragalus_columbianus	N
Astragalus_coluteocarpus	WE
Astragalus_comosus	W
Astragalus_confertus	WE
Astragalus_congdonii	N
Astragalus_conjunctus	N
Astragalus_consobrinus	N
Astragalus_conspicuus	W
Astragalus_contortuplicatus	WEB
Astragalus_convallarius	N
Astragalus_coquimbensis	S
Astragalus_cornutus	WB
Astragalus_corrugatus	AWE
Astragalus_cottonianus	W
Astragalus_crassicarpus	N
Astragalus_cremnophylax	N
Astragalus_cretaceus	W
Astragalus_cronquistii	N
Astragalus_crotalariae	N
Astragalus_cruckshanksii	S
Astragalus_crymophilus	S
Astragalus_cryptanthus	S
Astragalus_curtipes	N
Astragalus_curvicarpus	N
Astragalus_curvicaulis	S
Astragalus_curviflorus	W
Astragalus_curvirostris	W
Astragalus_cyaneus	N
Astragalus_cymboides	N
Astragalus_cyri	W
Astragalus_dactylocarpus	W
Astragalus_dahuricus	WEB
Astragalus_daleae	N
Astragalus_danicus	WB
Astragalus_darumbium	S
Astragalus_dasyanthus	WB
Astragalus_debequaeus	N
Astragalus_demetrii	W
Astragalus_depressus	AWB
Astragalus_desereticus	N
Astragalus_desperatus	N
Astragalus_deterior	N
Astragalus_detritalis	N
Astragalus_dianthus	W
Astragalus_diaphanus	N
Astragalus_dictyolobus	W
Astragalus_didymocarpus	N
Astragalus_dilutus	W
Astragalus_diminutivus	S
Astragalus_dipelta	W
Astragalus_diphacus	N
Astragalus_discolor	E
Astragalus_distortus	N
Astragalus_diversifolius	N
Astragalus_dodtii	S
Astragalus_dolichophyllus	W
Astragalus_douglasii	N
Astragalus_drabelliformis	N
Astragalus_drummondii	N
Astragalus_duchesnensis	N
Astragalus_eastwoodiae	N
Astragalus_echinops	W
Astragalus_edmondstonei	S
Astragalus_edulis	AB
Astragalus_egglestonii	N
Astragalus_ellipsoideus	W
Astragalus_emoryanus	N
Astragalus_ensiformis	N
Astragalus_epiglottis	AWB
Astragalus_episcopus	N
Astragalus_eremiticus	N
Astragalus_eriocarpus	W
Astragalus_eriopodus	W
Astragalus_ernestii	E
Astragalus_erythrosemius	WE
Astragalus_eucosmus	NB
Astragalus_eurekensis	N
Astragalus_eurylobus	N
