Oxytropis_deflexa	45.0209
Astragalus_polyphyllus	26
Astragalus_kurtschumensis	35.6
Astragalus_intarrensis	22
Astragalus_neolipskyanus	26.1667
Astragalus_penduliflorus	47.9543
Astragalus_famatinae	43.8
Astragalus_idaeus	18
Astragalus_cryptanthus	39.5
Astragalus_schistosus	32.8
Astragalus_kabadianus	14.5
Oxytropis_exserta	46.9091
Astragalus_peckii	49.1667
Astragalus_paposanus	45.6
Astragalus_ceramicus	49.432
Astragalus_ernestii	42.2581
Astragalus_sardaimionensis	33.2
Astragalus_lagopoides	31.7037
Astragalus_umbraticus	35.2963
Astragalus_mirabilis	34
Astragalus_aksuensis	47.7105
Astragalus_uraniolimneus	29
Astragalus_cuyanus	35.3333
Astragalus_tehuelches	38
Astragalus_brandegeei	46.463
Astracantha_denudata	36.9583
Astragalus_howellii	34.7879
Astragalus_borodinii	33
Astragalus_thurberi	35.0506
Astragalus_lessertioides	34.8
Astragalus_zohrabi	23.6667
Astragalus_substipitatus	17.5
Astragalus_batangensis	41.375
Astragalus_tennesseensis	26.4889
Astragalus_salsugineus	17.5
Astragalus_pulviniformis	46.6
Astragalus_subumbellatus	39.1154
Astragalus_diphacus	27.0667
Astragalus_ammodytes	22
Astragalus_brachyodontus	30.5
Astragalus_domeykoanus	49.1429
Astragalus_lurorum	15.5
Astragalus_achundovii	16
Astragalus_lacei	21
Astragalus_coriaceus	28.1786
Astragalus_xiphidium	27.8571
Oxytropis_tianschanica	39.4
Astragalus_phlomoides	18
Astragalus_durandianus	27
Astragalus_caprinus	40.0691
Astragalus_urceolatus	31.6667
Astragalus_canadensis	39.9173
Astragalus_mangeri	26
Astragalus_cymbicarpos	43.4725
Astragalus_pseudoborodinii	26
Astragalus_leiosemius	20
Astragalus_verticillatus	25
Astragalus_asymmetricus	37.1546
Astragalus_flexus	36.7143
Astragalus_peterae	39.4444
Astragalus_anserinus	40.4
Astragalus_eurekensis	38.027
Astragalus_polozhiae	28.3333
Astragalus_conspicuus	22
Astragalus_multiceps	46.8889
Astragalus_podocarpus	34.75
Astragalus_eremiticus	42.9218
Astragalus_stalinskyi	28.25
Astragalus_cimae	55.5741
Astragalus_tortuosus	23.25
Astragalus_denticulatus	17.5
Astragalus_eucosmus	42.5657
Astragalus_reventiformis	39.6557
Astragalus_patagonicus	56.0667
Astragalus_gilgitensis	45.6667
Astragalus_kunlunensis	21.5
Astragalus_bezudensis	37.875
Astragalus_atwoodii	39
Astragalus_ovigerus	16
Astragalus_campylotrichus	26.4
Astragalus_spatulatus	40.9507
Astragalus_holmgreniorum	52.1765
Astragalus_graveolens	42.6364
Oxytropis_jordalii	42.2632
Astragalus_iselyi	43.1176
Astragalus_odoratus	32.6
Astragalus_harrisonii	52.0714
Astragalus_misellus	38.8824
Astragalus_sesquiflorus	51.3469
Oxytropis_albana	39.7188
Astragalus_jiuquanensis	21.5
Astragalus_cytisoides	18.6667
Astragalus_kralikii	37.6667
Astragalus_triflorus	57.4737
Astragalus_boeticus	37.8992
Astragalus_goldmanii	24.7273
Astragalus_vulpinus	31.4167
Astragalus_macropterus	43.5857
Astragalus_diminutivus	49.2143
Astragalus_uniflorus	43.3077
Astragalus_khoshjailensis	33.3333
