Name,GenesAt50pct,ParalogWarnings
Astragalus_bucharicus_P013_WH12,58,0
Astragalus_buchtormensis_P072_WH07,72,0
Astragalus_bungeanus_P073_WF02,65,0
Astragalus_burkartii_P066_WA02,61,0
Astragalus_bustillosii_P006_WG03,62,1
Astragalus_californicus_P067_WA01,69,4
Astragalus_calliphysa_P071_WE11,59,0
Astragalus_callistachys_P066_WC06,66,0
Astragalus_callithrix_P064_WE04,87,7
Astragalus_calycinus_P074_WH08,54,0
Astragalus_calycosus_P074_WG07,60,0
Astragalus_camptoceras_P072_WH04,48,0
Astragalus_camptopus_P070_WA09,68,5
Astragalus_campylorhynchus_P072_WC07,59,0
Astragalus_campylorhynchus_P009_WH04,68,0
Astragalus_pendulus_P068_WB06,72,0
Astragalus_campylotrichus_P074_WD09,53,0
Astragalus_canadensis_P028_WA06,62,0
Astragalus_cancellatus_P073_WH10,54,0
Astragalus_caprinus_P014_WB10,56,0
Astragalus_captiosus_P071_WH07,58,0
Astragalus_caraganae_P075_WH06,73,0
Astragalus_caricinus_P066_WF10,63,3
Astragalus_carminis_P026_WB03,65,1
Astragalus_casei_P026_WA02,67,4
Astragalus_castaneiformis_P068_WD11,68,3
Astragalus_castetteri_P069_WF02,68,3
Astragalus_catabostrychos_P072_WC06,71,0
Astragalus_centralis_P010_WF10,60,0
Astragalus_cephalanthus_P072_WC08,57,0
Astragalus_ceramicus_P027_WE08,68,6
Astragalus_cerasinus_P068_WE02,72,5
Astragalus_chamaeleuce_P065_WB03,73,4
Astragalus_chamaemeniscus_P071_WE02,64,2
Astragalus_chamissonis_P006_WF10,64,5
Astragalus_chilienshanensis_P013_WH04,48,0
Astragalus_chinensis_P069_WE06,75,0
Astragalus_olgae_P073_WA03,64,0
Astragalus_chloodes_P071_WD08,69,6
Astragalus_chlorostachys_P071_WH05,66,0
Astragalus_chrysomallus_P013_WH07,48,0
Astragalus_chrysostachys_P072_WH08,67,0
Astragalus_chubutensis_P065_WC08,56,2
Astragalus_chuskanus_P065_WH12,71,4
Astragalus_cibarius_P072_WD07,65,7
Astragalus_cicer_P072_WD06,63,0
Astragalus_cimae_P073_WE08,62,3
Astragalus_circumdatus_P026_WA02,39,0
Astragalus_citrinus_P013_WD04,32,0
Astragalus_clarianus_P074_WC07,60,0
Astragalus_clevelandii_P074_WC06,63,5
Astragalus_clusii_P074_WH05,62,0
Astragalus_coahuilae_P026_WA03,68,1
Astragalus_cobrensis_P072_WD05,57,1
Astragalus_coccineus_P073_WE07,62,2
Astragalus_cochabambensis_P065_WB07,49,1
