species,DR
Wisteria_sinensis,0.0515131790286963
Onobrychis_conferta,0.0734639781825943
Hedysarum_boreale,0.0734639781825943
Astragalus_hosackioides,0.0629970313200214
Carmichaelia_violacea,0.0629970313200214
Erophaca_baetica,0.0620907916080756
Astragalus_epiglottis,0.0778507816454462
Astragalus_vogelii,0.102542760030514
Astragalus_pycnorhizus,0.169170801262176
Astragalus_balfourianus,0.257900638601825
Phyllolobium_tribulifolium,0.372698126426829
Astragalus_tanguticus,0.492747053653098
Astragalus_prattii,0.492747053653098
Lessertia_capitata,0.135038973257837
Swainsona_formosa,0.222980012682027
Clianthus_puniceus,0.222980012682027
Sutherlandia_microphylla,0.209138324453173
Colutea_abyssinica,0.261267473527328
Eremosparton_flaccidum,0.48401719577085
Smirnowia_turkestana,0.48401719577085
Sphaerophysa_salsula,0.328712339272704
Oxytropis_pilosa,0.145002335404216
Oxytropis_podoloba,0.202585880646713
Oxytropis_aucheri,0.252687931161352
Oxytropis_roseiformis,0.315971560724802
Oxytropis_nutans,0.419584105712406
Oxytropis_macrocarpa,0.419584105712406
Oxytropis_savellanica,0.224378797597317
Oxytropis_lapponica,0.224378797597317
Oxytropis_aspera,0.334515956485321
Oxytropis_michelsonii,0.334515956485321
Oxytropis_tianschanica,0.350900000235011
Oxytropis_bella,0.478858314419516
Oxytropis_williamsii,0.478858314419516
Oxytropis_albana,0.332633941628168
Oxytropis_talassica,0.39722216501183
Oxytropis_immersa,0.486085099474438
Oxytropis_humifusa,0.486085099474438
Oxytropis_riparia,0.259806794537698
Oxytropis_mollis,0.398121066015461
Oxytropis_deflexa,0.550164893201185
Oxytropis_jacquinii,0.862298708629715
Oxytropis_neglecta,0.862298708629715
Oxytropis_taochensis,0.550274334296946
Oxytropis_qinghaiensis,0.550274334296946
Oxytropis_yunnanensis,0.604681861773652
Oxytropis_ochrocephala,0.604681861773652
Oxytropis_pauciflora,0.6998110744455
Oxytropis_melanocalyx,0.6998110744455
Oxytropis_ochroleuca,0.772498082543708
Oxytropis_kansuensis,0.772498082543708
Oxytropis_racemosa,0.147254148612124
Oxytropis_multiceps,0.207883167223889
Oxytropis_mertensiana,0.207883167223889
Oxytropis_grandiflora,0.213124764909492
Oxytropis_falcata,0.245997186452824
Oxytropis_squammulosa,0.337437895740564
Oxytropis_ciliata,0.44756234846344
Oxytropis_hirta,0.531544286878012
Oxytropis_microphylla,0.531544286878012
Oxytropis_ochotensis,0.521233139312026
Oxytropis_splendens,0.621112749217841
Oxytropis_recognita,0.747910811312168
Oxytropis_chionobia,0.747910811312168
Oxytropis_eriocarpa,0.483005036529933
Oxytropis_oxyphylloides,0.594409567402182
Oxytropis_poncinsii,0.594409567402182
Oxytropis_campanulata,0.680814051548506
Oxytropis_adamsiana,0.680814051548506
Oxytropis_strobilacea,0.659364708813265
Oxytropis_vassilievii,0.659364708813265
Oxytropis_besseyi,0.460329676258624
Oxytropis_nigrescens,0.713004071267632
Oxytropis_scammaniana,0.713004071267632
Oxytropis_czukotica,0.73050419319984
Oxytropis_exserta,0.73050419319984
Oxytropis_bicolor,0.353125968169098
Oxytropis_maydelliana,0.441337008079653
Oxytropis_arctica,0.503200840324672
Oxytropis_kobukensis,0.503200840324672
Oxytropis_viscida,0.614054260078189
Oxytropis_jordalii,0.782888689892797
Oxytropis_campestris,0.782888689892797
Oxytropis_koyukukensis,0.566250841623326
Oxytropis_lagopus,0.635423165850182
Oxytropis_sericea,0.635423165850182
Oxytropis_jonesii,0.596553428014172
Oxytropis_lambertii,0.677516003656447
Oxytropis_nana,0.916311255378086
Oxytropis_obnapiformis,0.916311255378086
Oxytropis_oreophila,0.992905961174839
Oxytropis_parryi,0.992905961174839
Astragalus_forrestii,0.224925940190826
Astragalus_kialensis,0.224925940190826
Astragalus_graveolens,0.249153723344045
Astragalus_atropilosulus,0.249153723344045
Astragalus_hoffmeisteri,0.299490738344263
Astragalus_falconeri,0.299490738344263
Astragalus_chinensis,0.102473601705414
Astragalus_acaulis,0.112437171146392
Astragalus_aksuensis,0.206161381113828
Astragalus_mongholicus,0.359181276340967
Astragalus_penduliflorus,0.359181276340967
Tragacantha_penduliflora,0.133694799872828
Astragalus_floridus,0.273373176262193
Astragalus_propinquus,0.440240018253912
Astragalus_floridulus,0.440240018253912
Astragalus_lepsensis,0.199830688658172
Astragalus_tongolensis,0.238740571340596
Astragalus_ernestii,0.304350951326095
Astragalus_josephi,0.425589455834559
Astragalus_chilienshanensis,0.5875250328388
Astragalus_neomonadelphus,0.5875250328388
Astragalus_frigidus,0.525672243188603
Tragacantha_frigida,0.525672243188603
Astragalus_fenzelianus,0.419718448911422
Astragalus_umbellatus,0.578143702900628
Astragalus_przewalskii,0.729869530575307
Astragalus_secundus,0.729869530575307
Astragalus_scheremetevianus,0.10133190313063
Astragalus_farctissimus,0.133319502164075
Astragalus_kaschkadarjensis,0.133319502164075
Astragalus_kashmarensis,0.117857506685058
Astragalus_mucidus,0.117857506685058
Tragacantha_declinata,0.111707339203963
Astragalus_orbiculatus,0.114267932288859
Astragalus_aegobromus,0.144210884983329
Astragalus_adpressipilosus,0.165959371020228
Astragalus_erythrosemius,0.181721784003859
Astragalus_pseudoutriger,0.22865113530214
Astragalus_macropodium,0.22865113530214
Astragalus_hoantchy,0.263328455516109
Astragalus_stocksii,0.382904292193556
Astragalus_galegiformis,0.382904292193556
